Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,Winner
paiN Gaming,S11,BR,18,77.8%,1.11,1915,178,31:38:00,17.8,15.9,8.2,4.6,55.6,66.7,2.72,63.7,-,1.11,55.6,1.28,0.9,1632,-,0.94,77.8,32.5,2241,3.5,1.49,1.60,0
RED Canids,S11,BR,18,55.6%,1.15,1816,47,32:58:00,17.1,14.8,6.5,6.3,55.6,50.0,2.61,56.5,-,1.28,63.9,1.00,-0.3,806,-,0.83,50.0,32.0,2158,3.6,1.71,1.24,1
Rensga eSports,S11,BR,18,61.1%,01.07,1826,74,30:42:00,15.4,14.4,7.3,5.4,55.6,61.1,2.11,54.4,-,1.28,63.9,0.61,0.4,191,-,0.83,68.9,31.3,2149,3.3,1.32,1.39,0
Vorax Liberty,S11,BR,18,66.7%,1.49,1857,130,31:08:00,17.5,11.8,8.2,5.6,55.6,83.3,1.94,47.1,-,1.50,75.0,0.61,0.5,1349,-,0.89,64.8,30.4,2243,3.5,1.37,1.39,0
Flamengo eSports,S11,BR,18,72.2%,1.35,1837,174,31:27:00,14.6,10.8,8.1,3.9,50.0,55.6,2.44,57.0,-,1.11,55.6,1.00,0.5,1320,-,0.89,73.5,32.6,1913,3.5,1.53,1.41,0
FURIA Esports,S11,BR,18,27.8%,0.62,1699,-155,31:13:00,9.9,15.9,5.1,7.6,33.3,38.9,1.44,30.7,-,1.00,50.0,0.61,0.0,-743,-,0.67,43.1,32.2,1730,3.2,1.29,1.32,0
INTZ e-Sports,S11,BR,18,33.3%,0.79,1735,-67,32:19:00,11.4,14.4,5.6,7.5,77.8,44.4,1.83,40.5,-,0.89,44.4,0.94,-0.4,-318,-,0.33,27.8,32.2,1720,3.4,1.57,1.49,0
KaBuM! e-Sports,S11,BR,18,50.0%,0.95,1728,-43,34:40:00,13.6,14.3,5.9,6.6,50.0,50.0,2.50,45.6,-,1.00,50.0,0.78,0.2,83,-,0.78,48.5,31.7,1890,3.6,1.57,1.56,0
LOUD,S11,BR,18,61.1%,01.08,1817,48,31:49:00,14.6,13.5,7.1,5.6,44.4,72.2,2.28,49.3,-,01.06,52.8,0.83,0.2,-332,-,0.78,56.9,32.4,1890,3.5,1.42,1.35,0
Netshoes Miners,S11,BR,18,33.3%,0.71,1668,-175,30:51:00,10.6,14.7,4.1,7.6,44.4,22.2,1.94,44.6,-,0.61,33.3,0.78,-0.7,-959,-,0.56,36.1,31.4,1583,3.0,1.20,1.13,0
paiN Gaming,S11,BR,18,61.1%,1.38,1895,181,30:30:00,17.1,12.3,7.7,5.1,44.4,66.7,2.72,62.2,-,1.11,55.6,1.11,0.7,1366,-,1.00,63.0,32.5,2066,3.3,1.47,1.39,1
RED Canids,S11,BR,18,66.7%,1.30,1848,106,32:20:00,17.1,13.2,7.4,5.4,44.4,50.0,2.67,56.4,-,1.22,61.1,01.06,0.0,817,-,0.83,59.7,32.6,1945,3.3,1.47,1.30,0
Rensga eSports,S11,BR,18,22.2%,0.65,1648,-225,31:42:00,10.8,16.5,3.9,8.3,44.4,33.3,2.28,53.9,-,0.61,30.6,1.11,-0.9,-2180,-,0.33,22.2,30.7,1847,3.2,1.36,1.40,0
Vorax Liberty,S11,BR,18,72.2%,1.57,1838,156,31:16:00,16.6,10.6,7.4,4.8,66.7,66.7,2.61,59.7,-,1.33,66.7,1.17,0.4,946,-,0.83,70.4,31.6,1945,3.3,1.42,1.47,0
Flamengo eSports,S10,BR,21,47.6%,0.91,1766,-44,34:10:00,15.7,17.3,5.9,6.9,47.6,38.1,2.67,53.3,-,0.81,40.5,0.95,-0.2,-76,-,0.52,39.5,31.3,2093,3.7,1.42,1.64,0
FURIA Uppercut,S10,BR,21,38.1%,0.83,1707,-124,31:49:00,13.2,15.9,5.0,7.5,33.3,38.1,1.86,40.2,-,0.71,35.7,0.81,-0.4,-1255,-,0.62,47.4,30.8,1878,3.4,1.42,1.29,0
INTZ e-Sports,S10,BR,21,57.1%,01.03,1751,5,32:01:00,12.8,12.4,6.3,5.9,47.6,52.4,2.14,45.6,-,01.05,52.4,0.71,0.1,-433,-,0.76,69.4,31.0,1747,3.6,1.31,1.42,1
KaBuM! e-Sports,S10,BR,21,57.1%,1.22,1797,88,34:26:00,16.0,13.0,6.8,6.0,52.4,71.4,2.76,54.6,-,1.14,59.5,0.90,0.5,1095,-,0.67,47.5,31.7,2076,3.5,1.39,1.42,0
paiN Gaming,S10,BR,21,66.7%,1.46,1854,183,31:18:00,15.7,10.7,7.2,4.8,61.9,57.1,2.86,65.1,-,1.00,52.4,1.48,0.6,1601,-,0.76,57.9,32.4,1877,3.7,1.50,1.51,0
Prodigy Esports,S10,BR,21,52.4%,1.17,1764,18,34:15:00,15.7,13.4,7.5,5.4,66.7,52.4,2.71,53.3,-,1.24,61.9,0.71,-0.2,529,-,0.57,44.1,30.2,2091,3.6,1.47,1.48,0
Santos e-Sports,S10,BR,21,52.4%,0.95,1777,20,31:15:00,14.9,15.7,6.1,5.5,38.1,47.6,2.43,53.1,-,0.95,47.6,1.10,-0.1,-895,-,0.76,66.7,30.4,2081,3.1,1.16,1.31,0
Vivo Keyd,S10,BR,21,28.6%,0.67,1702,-147,32:07:00,11.4,17.0,4.5,7.5,52.4,42.9,1.71,34.8,-,1.00,50.0,0.90,-0.2,-565,-,0.43,30.0,31.5,1853,3.1,1.45,1.41,0
Flamengo eSports,S10,BR,21,61.9%,01.09,1778,60,34:53:00,16.7,15.4,7.9,5.5,61.9,66.7,3.14,62.1,-,1.14,57.1,0.95,0.3,570,-,0.86,59.5,30.1,2112,3.6,1.43,1.40,0
